Down-log2(FC)	Down-entry	Down-mgi_symbol	Down-refseq_mrna	Down-entrezgene	Down-description
-2.19930994998235	453	Chst11	NM_021439	58250	carbohydrate sulfotransferase 11 [Source:MGI Symbol
-2.19752905659813	1111	Tiparp	NM_178892	99929	TCDD-inducible poly(ADP-ribose) polymerase [Source:MGI Symbol
-2.19227961044445	1954	Hk1os	0	NA	hexokinase 1
-2.19069941759414	2948	Gm7582	0	NA	predicted gene 7582 [Source:MGI Symbol
-2.18473560688613	395	Rhob	NM_007483	11852	ras homolog family member B [Source:MGI Symbol
-2.18389912938852	3448	Ier3	NM_133662	15937	immediate early response 3 [Source:MGI Symbol
-2.18240891407828	2289	Tmod1	NM_021883	21916	tropomodulin 1 [Source:MGI Symbol
-2.17738171933434	1772	Rab37	NM_001163753	58222	RAB37
-2.17565537784607	839	F630040K05Rik	0	NA	RIKEN cDNA F630040K05 gene [Source:MGI Symbol
-2.17310736414575	793	Rhoc	0	11853	ras homolog family member C [Source:MGI Symbol
-2.17167407887576	277	Usb1	NM_133954	101985	U6 snRNA biogenesis 1 [Source:MGI Symbol
-2.16702513829112	694	Bcl2a1d	NM_007536	12047	B cell leukemia/lymphoma 2 related protein A1d [Source:MGI Symbol
-2.16414875286452	4579	Fndc7	0	320181	fibronectin type III domain containing 7 [Source:MGI Symbol
-2.16268179933197	3973	St3gal5	NM_001035228	20454	ST3 beta-galactoside alpha-2
-2.1610274117114	833	Ifit3	NM_010501	15959	interferon-induced protein with tetratricopeptide repeats 3 [Source:MGI Symbol
-2.16085670053503	1465	Ggta1	NM_001308300	14594	glycoprotein galactosyltransferase alpha 1
-2.1608075029294	6197	Lgi4	NM_144556	243914	leucine-rich repeat LGI family
-2.16073478202249	1142	Ptbp2	NM_001310711	56195	polypyrimidine tract binding protein 2 [Source:MGI Symbol
-2.15835535755176	2230	Cd33	NM_021293	12489	CD33 antigen [Source:MGI Symbol
-2.15783808126026	5161	Yy2	NM_001098723	100073351	Yy2 transcription factor [Source:MGI Symbol
-2.15681010442669	3270	Rab15	NM_134050	104886	RAB15
-2.1562634390118	677	Alas1	NM_001291835	11655	aminolevulinic acid synthase 1 [Source:MGI Symbol
-2.14951588223901	375	Hmga1	NM_001166543	15361	high mobility group AT-hook 1 [Source:MGI Symbol
-2.14774986169179	886	Celsr3	NM_080437	107934	cadherin
-2.14597952669579	4809	Plod2	NM_011961	26432	procollagen lysine
-2.14583197148954	3426	Gm15931	0	NA	predicted gene 15931 [Source:MGI Symbol
-2.14438126227813	1771	Cd86	NM_019388	12524	CD86 antigen [Source:MGI Symbol
-2.14347258523563	3437	Fam114a1	NM_026667	68303	family with sequence similarity 114
-2.14057750493187	1592	Stk36	NM_175031	269209	serine/threonine kinase 36 [Source:MGI Symbol
-2.13979236864147	414	Cd300lf	0	246746	CD300 molecule like family member F [Source:MGI Symbol
-2.13879192278543	427	Manbal	NM_026968	69161	mannosidase
-2.13646531132773	570	Slc11a2	NM_008732	18174	solute carrier family 11 (proton-coupled divalent metal ion transporters)
-2.12624537741429	4497	2810474O19Rik	0	67246	RIKEN cDNA 2810474O19 gene [Source:MGI Symbol
-2.12568428182262	2501	AI429214	NM_001039220	621080	expressed sequence AI429214 [Source:MGI Symbol
-2.12544082819749	1223	Tmem140	0	68487	transmembrane protein 140 [Source:MGI Symbol
-2.121448675062	1236	Tank	0	21353	TRAF family member-associated Nf-kappa B activator [Source:MGI Symbol
-2.11711174108047	1237	Pkp4	NM_026361	227937	plakophilin 4 [Source:MGI Symbol
-2.11600783618405	1608	Epn2	0	13855	epsin 2 [Source:MGI Symbol
-2.11506335317352	1820	Cd244	NM_018729	18106	CD244 natural killer cell receptor 2B4 [Source:MGI Symbol
-2.11388243485457	2827	Ahnak2	0	NA	AHNAK nucleoprotein 2 [Source:MGI Symbol
-2.11332597273827	2828	Ifi44	NM_133871	99899	interferon-induced protein 44 [Source:MGI Symbol
-2.11132181251781	1871	Prokr1	0	58182	prokineticin receptor 1 [Source:MGI Symbol
-2.10494728444635	495	Pigg	NM_001081234	433931	phosphatidylinositol glycan anchor biosynthesis
-2.10174956447545	1132	H2-T22	0	15039	histocompatibility 2
-2.10157784459341	1546	Arrdc4	NM_001042592	66412	arrestin domain containing 4 [Source:MGI Symbol
-2.10088549608931	2547	9930022D16Rik	0	NA	RIKEN cDNA 9930022D16 gene [Source:MGI Symbol
-2.09883170882721	3607	Zswim4	NM_172503	212168	zinc finger SWIM-type containing 4 [Source:MGI Symbol
-2.09872415590765	2630	Irak3	NM_028679	73914	interleukin-1 receptor-associated kinase 3 [Source:MGI Symbol
-2.09869119925712	3826	Zdhhc2	NM_178395	70546	zinc finger
-2.09592094311583	3430	A630033H20Rik	NM_175442	213438	RIKEN cDNA A630033H20 gene [Source:MGI Symbol
-2.09512203789707	2034	Ldlr	NM_001252659	16835	low density lipoprotein receptor [Source:MGI Symbol
-2.09439152848652	261	Gm13012	0	NA	predicted gene 13012 [Source:MGI Symbol
-2.09304380428525	1232	4930430E12Rik	0	NA	RIKEN cDNA 4930430E12 gene [Source:MGI Symbol
-2.09207553972075	1758	Gm28809	0	NA	predicted gene 28809 [Source:MGI Symbol
-2.0898803184938	3109	Gm5421	0	NA	predicted gene 5421 [Source:MGI Symbol
-2.08953229105508	384	Cst7	NM_009977	13011	cystatin F (leukocystatin) [Source:MGI Symbol
-2.08909806794646	3705	Rnd1	0	223881	Rho family GTPase 1 [Source:MGI Symbol
-2.08632019035146	3993	Gbp2	NM_010260	14469	guanylate binding protein 2 [Source:MGI Symbol
-2.08594502999895	2660	Med13	NM_001080931	327987	mediator complex subunit 13 [Source:MGI Symbol
-2.0856304270365	1419	Trim30d	NM_001167828	209387	tripartite motif-containing 30D [Source:MGI Symbol
-2.08423944310471	3506	Bambi	NM_026505	68010	BMP and activin membrane-bound inhibitor [Source:MGI Symbol
-2.08377938332593	1783	Iqcg	NM_178378	69707	IQ motif containing G [Source:MGI Symbol
-2.08017517412029	5041	Gbp11	NM_001039647	634650	guanylate binding protein 11 [Source:MGI Symbol
-2.0787705410389	3948	Zhx2	NM_199449	387609	zinc fingers and homeoboxes 2 [Source:MGI Symbol
-2.07872697012362	2668	1110002J07Rik	0	NA	RIKEN cDNA 1110002J07 gene [Source:MGI Symbol
-2.07252211033854	3501	Gm15448	0	18729	predicted gene 15448 [Source:MGI Symbol
-2.07127009427378	5171	Gm38048	0	NA	predicted gene
-2.07078122609277	251	Nat6	0	56441	N-acetyltransferase 6 [Source:MGI Symbol
-2.06850563208964	522	Mitd1	0	69028	MIT
-2.06742483269796	3013	Tnfsf9	NM_009404	21950	tumor necrosis factor (ligand) superfamily
-2.06399029006564	2007	Ceacam19	NM_177036	319930	carcinoembryonic antigen-related cell adhesion molecule 19 [Source:MGI Symbol
-2.06391222472383	6517	Adm	NM_009627	11535	adrenomedullin [Source:MGI Symbol
-2.06314643263373	1593	S100a8	NM_013650	20201	S100 calcium binding protein A8 (calgranulin A) [Source:MGI Symbol
-2.0609602348576	4165	Plk2	NM_152804	20620	polo-like kinase 2 [Source:MGI Symbol
-2.06057316914158	5368	Ccl12	NM_011331	20293	chemokine (C-C motif) ligand 12 [Source:MGI Symbol
-2.05919336301697	1362	Herc6	NM_025992	67138	hect domain and RLD 6 [Source:MGI Symbol
-2.05917814151145	1370	Chpf	NM_001001566	74241	chondroitin polymerizing factor [Source:MGI Symbol
-2.04740897305313	4669	F11r	NM_172647	16456	F11 receptor [Source:MGI Symbol
-2.04306334008983	828	Ppp1r15a	0	17872	protein phosphatase 1
-2.04187015766046	2384	Basp1	NM_027395	70350	brain abundant
-2.03268859271743	1262	Rptoros	0	NA	regulatory associated protein of MTOR
-2.03240617716868	1913	Nfil3	NM_017373	18030	nuclear factor
-2.02813859029535	6792	Ccnd2	NM_009829	12444	cyclin D2 [Source:MGI Symbol
-2.02497421150964	3657	Cdkn2d	NM_009878	12581	cyclin-dependent kinase inhibitor 2D (p19
-2.02473411786296	2097	Slc16a3	NM_030696	80879	solute carrier family 16 (monocarboxylic acid transporters)
-2.02310611254679	1703	Pla2g5	NM_011110	18784	phospholipase A2
-2.02198225485816	2708	Abhd18	0	269423	abhydrolase domain containing 18 [Source:MGI Symbol
-2.02174874362805	1794	Efcab7	0	NA	EF-hand calcium binding domain 7 [Source:MGI Symbol
-2.01811411884375	516	Emp2	NM_007929	13731	epithelial membrane protein 2 [Source:MGI Symbol
-2.01732647436936	3464	Fam161b	0	217705	family with sequence similarity 161
-2.01685847864613	189	Tmem120a	NM_172541	215210	transmembrane protein 120A [Source:MGI Symbol
-2.0164567867728	2356	Large	0	16795	like-glycosyltransferase [Source:MGI Symbol
-2.01620774606909	629	Klf10	NM_013692	21847	Kruppel-like factor 10 [Source:MGI Symbol
-2.01399924153473	1264	Prmt2	0	15468	protein arginine N-methyltransferase 2 [Source:MGI Symbol
-2.00721904765147	220	Sepw1	NM_009156	20364	selenoprotein W
-2.00625408955787	3766	Klf8	0	245671	Kruppel-like factor 8 [Source:MGI Symbol
-2.00474405314941	4069	Gm45193	0	NA	predicted gene 45193 [Source:MGI Symbol
-2.00268281956637	884	H3f3b	0	15081	H3 histone
-1.99490094789094	3470	Nod2	NM_145857	257632	nucleotide-binding oligomerization domain containing 2 [Source:MGI Symbol
-1.99460859944249	274	Gbe1	NM_028803	74185	glucan (1
-1.99095910655396	4272	Ankmy1	0	241158	ankyrin repeat and MYND domain containing 1 [Source:MGI Symbol
-1.99007720491919	2454	Gcnt2	NM_023887	14538	glucosaminyl (N-acetyl) transferase 2
-1.99006984949635	4768	Vsig10l	0	75690	V-set and immunoglobulin domain containing 10 like [Source:MGI Symbol
-1.98963787676763	1532	Gk5	0	235533	glycerol kinase 5 (putative) [Source:MGI Symbol
-1.98722037440879	1094	Anxa2	NM_007585	12306	annexin A2 [Source:MGI Symbol
-1.98385053430946	2109	Spata1	0	70951	spermatogenesis associated 1 [Source:MGI Symbol
-1.98284406844286	3152	Gm20517	0	NA	predicted gene 20517 [Source:MGI Symbol
-1.97952025870272	2627	Otud7b	0	229603	OTU domain containing 7B [Source:MGI Symbol
-1.97728020019085	2996	BC029214	NM_153557	227622	cDNA sequence BC029214 [Source:MGI Symbol
-1.97640705429621	312	Cipc	NM_001289430	217732	CLOCK interacting protein
-1.97519445433709	2149	Whamm	0	434204	WAS protein homolog associated with actin
-1.97392810641026	998	Spryd7	NM_025697	66674	SPRY domain containing 7 [Source:MGI Symbol
-1.97383976400945	2123	Runx3	NM_019732	12399	runt related transcription factor 3 [Source:MGI Symbol
-1.97319167343224	967	C1rl	NM_181344	232371	complement component 1
-1.97152150350464	2222	Akap7	0	432442	A kinase (PRKA) anchor protein 7 [Source:MGI Symbol
-1.97128643949908	777	Ahi1	NM_001177776	52906	Abelson helper integration site 1 [Source:MGI Symbol
-1.96826828631158	1564	Dagla	NM_198114	269060	diacylglycerol lipase
-1.96687074743132	1732	Cpeb4	NM_001290678	67579	cytoplasmic polyadenylation element binding protein 4 [Source:MGI Symbol
-1.96619635958226	9115	Gm14176	0	NA	predicted gene 14176 [Source:MGI Symbol
-1.96602698870321	4367	Gypc	NM_001048207	71683	glycophorin C [Source:MGI Symbol
-1.95999250550977	4973	Bcar1	NM_009954	12927	breast cancer anti-estrogen resistance 1 [Source:MGI Symbol
-1.95973459482868	5039	Col20a1	0	73368	collagen
-1.95967659409337	447	Hmga1-rs1	NM_001166476	111241	high mobility group AT-hook I
-1.95170519179567	259	Ninj1	NM_013610	18081	ninjurin 1 [Source:MGI Symbol
-1.95119718972196	1343	Mfap3l	NM_001293769	71306	microfibrillar-associated protein 3-like [Source:MGI Symbol
-1.95090720965209	2309	Zfpm1	NM_009569	22761	zinc finger protein
-1.94813198080832	1675	Cttn	NM_001252572	13043	cortactin [Source:MGI Symbol
-1.94521882126344	2920	Ehd1	NM_010119	13660	EH-domain containing 1 [Source:MGI Symbol
-1.94396311768993	1723	Zfp719	NM_172482	210105	zinc finger protein 719 [Source:MGI Symbol
-1.94150340843721	2038	Dusp18	0	75219	dual specificity phosphatase 18 [Source:MGI Symbol
-1.9402200003179	5050	Zfp558	0	72230	zinc finger protein 558 [Source:MGI Symbol
-1.93908655951137	1136	Gm10419	0	NA	predicted gene 10419 [Source:MGI Symbol
-1.93866459917146	4155	Zfp324	NM_178732	243834	zinc finger protein 324 [Source:MGI Symbol
-1.93756144464279	2653	Trim13	NM_001164220	66597	tripartite motif-containing 13 [Source:MGI Symbol
-1.93715669655881	3859	Gm3912	0	NA	predicted gene 3912 [Source:MGI Symbol
-1.92985283651864	2164	Zfp758	0	224598	zinc finger protein 758 [Source:MGI Symbol
-1.92978798080147	3871	Ppp1r3f	NM_001290574	54646	protein phosphatase 1
-1.92500084522739	3962	Gm26910	0	NA	predicted gene
-1.9233871410851	293	Tspo	NM_009775	12257	translocator protein [Source:MGI Symbol
-1.9210987062897	2837	Gucd1	NM_175133	68778	guanylyl cyclase domain containing 1 [Source:MGI Symbol
-1.92052944157352	5186	F830016B08Rik	NM_001101475	240328	RIKEN cDNA F830016B08 gene [Source:MGI Symbol
-1.9193810455775	3271	Helz2	0	229003	helicase with zinc finger 2
-1.91847743839191	408	P2ry2	NM_008773	18442	purinergic receptor P2Y
-1.91825106256967	3393	Clic4	NM_013885	29876	chloride intracellular channel 4 (mitochondrial) [Source:MGI Symbol
-1.91393967009265	1543	Cd276	0	102657	CD276 antigen [Source:MGI Symbol
-1.91368424626008	1563	Smurf1	0	75788	SMAD specific E3 ubiquitin protein ligase 1 [Source:MGI Symbol
-1.91083085872698	792	Ero1l	NM_015774	50527	ERO1-like (S. cerevisiae) [Source:MGI Symbol
-1.91070787557912	2944	Zfas1	0	NA	zinc finger
-1.91058951320938	2464	Gm42547	0	NA	predicted gene 42547 [Source:MGI Symbol
-1.91030504438881	704	Gclm	NM_008129	14630	glutamate-cysteine ligase
-1.9073889515912	2369	Rassf1	NM_001243748	56289	Ras association (RalGDS/AF-6) domain family member 1 [Source:MGI Symbol
-1.90485725883992	1635	Grk4	NM_001080743	14772	G protein-coupled receptor kinase 4 [Source:MGI Symbol
-1.89890802472425	2850	Misp	NM_030218	78906	mitotic spindle positioning [Source:MGI Symbol
-1.89680046329888	1559	Ddx58	NM_172689	230073	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 [Source:MGI Symbol
-1.89678047902212	1824	Nrp2	0	18187	neuropilin 2 [Source:MGI Symbol
-1.89043738513648	1327	A530013C23Rik	0	NA	RIKEN cDNA A530013C23 gene [Source:MGI Symbol
-1.88803878659416	413	Bst2	NM_198095	69550	bone marrow stromal cell antigen 2 [Source:MGI Symbol
-1.88664989747162	319	Akr1a1	NM_021473	58810	aldo-keto reductase family 1
-1.88076917124078	1263	2210011C24Rik	NM_001291292	70134	RIKEN cDNA 2210011C24 gene [Source:MGI Symbol
-1.8797571110005	1061	Ctsl	NM_009984	13039	cathepsin L [Source:MGI Symbol
-1.87939899680681	1874	Cd24a	NM_009846	12484	CD24a antigen [Source:MGI Symbol
-1.87402274336912	2525	B3gnt5	NM_001159408	108105	UDP-GlcNAc:betaGal beta-1
-1.87214692542585	6480	Grap	NM_027817	71520	GRB2-related adaptor protein [Source:MGI Symbol
-1.86937851768887	2329	Carhsp1	NM_025821	52502	calcium regulated heat stable protein 1 [Source:MGI Symbol
-1.86840749493181	3850	Wdr54	NM_023790	75659	WD repeat domain 54 [Source:MGI Symbol
-1.86780639503991	1364	Oas1c	NM_033541	114643	2'-5' oligoadenylate synthetase 1C [Source:MGI Symbol
-1.86652326675573	2487	Junb	0	16477	jun B proto-oncogene [Source:MGI Symbol
-1.86562362516763	550	Gm15590	0	NA	predicted gene 15590 [Source:MGI Symbol
-1.86512352587443	464	Slc6a8	NM_133987	102857	solute carrier family 6 (neurotransmitter transporter
-1.86443190451742	1697	Zbtb18	0	30928	zinc finger and BTB domain containing 18 [Source:MGI Symbol
-1.86170617009586	6884	Pilrb1	0	170741	paired immunoglobin-like type 2 receptor beta 1 [Source:MGI Symbol
-1.85958242958314	1902	2010001A14Rik	0	NA	RIKEN cDNA 2010001A14 gene [Source:MGI Symbol
-1.85814363975875	825	Zdhhc18	NM_001017968	503610	zinc finger
-1.85461411693971	2489	Bcl3	0	12051	B cell leukemia/lymphoma 3 [Source:MGI Symbol
-1.85381225458062	1436	Hnrnph3	NM_001079824	432467	heterogeneous nuclear ribonucleoprotein H3 [Source:MGI Symbol
-1.84743361445979	1189	Slc35b3	NM_001170431	108652	solute carrier family 35
-1.84620754538827	5184	Gm20634	0	NA	predicted gene 20634 [Source:MGI Symbol
-1.84219858473409	1291	Fanca	NM_016925	14087	Fanconi anemia
-1.84156818996506	6315	Nod1	NM_001171007	107607	nucleotide-binding oligomerization domain containing 1 [Source:MGI Symbol
-1.8401595280721	3149	Brd2	NM_010238	14312	bromodomain containing 2 [Source:MGI Symbol
-1.83937380344587	5049	Il20rb	NM_001033543	213208	interleukin 20 receptor beta [Source:MGI Symbol
-1.83871702709672	1239	Acsl1	NM_007981	14081	acyl-CoA synthetase long-chain family member 1 [Source:MGI Symbol
-1.83801422134044	5531	Gm19412	0	NA	predicted gene
-1.83629882824428	1715	Tax1bp1	NM_025816	52440	Tax1 (human T cell leukemia virus type I) binding protein 1 [Source:MGI Symbol
-1.83094765623428	1450	4933430I17Rik	NM_177607	214106	RIKEN cDNA 4933430I17 gene [Source:MGI Symbol
-1.82967855071939	841	Gpx1	0	14775	glutathione peroxidase 1 [Source:MGI Symbol
-1.82945404907008	2598	A530040E14Rik	0	NA	RIKEN cDNA A530040E14 gene [Source:MGI Symbol
-1.82558065965453	3213	0	0	NA	0
-1.82408574070284	1565	Mocs1	0	56738	molybdenum cofactor synthesis 1 [Source:MGI Symbol
-1.82402251344254	2804	Gsto2	NM_026619	68214	glutathione S-transferase omega 2 [Source:MGI Symbol
-1.82376357025622	1325	Fmnl2	0	71409	formin-like 2 [Source:MGI Symbol
-1.82264232852563	2587	Casp1	NM_009807	12362	caspase 1 [Source:MGI Symbol
-1.82220041721436	3827	Gm15922	NM_011087	NA	predicted gene 15922 [Source:MGI Symbol
-1.82141569460729	2789	Tctn1	NM_001039153	654470	tectonic family member 1 [Source:MGI Symbol
-1.82110158265774	3443	Gm26809	0	NA	predicted gene
-1.81929759882203	2597	Lmo4	NM_001161769	16911	LIM domain only 4 [Source:MGI Symbol
-1.81897350435496	1802	Spata6	NM_026470	67946	spermatogenesis associated 6 [Source:MGI Symbol
-1.81604439052333	1905	Micall2	0	231830	MICAL-like 2 [Source:MGI Symbol
-1.8158277428472	1743	Fam214b	NM_001253353	230088	family with sequence similarity 214
-1.81308698320393	1882	Trim30a	NM_009099	20128	tripartite motif-containing 30A [Source:MGI Symbol
-1.81278135847265	1388	Mex3c	NM_001039214	240396	mex3 RNA binding family member C [Source:MGI Symbol
-1.811082356687	1683	Arfgef3	NM_001033258	215821	ARFGEF family member 3 [Source:MGI Symbol
-1.81107472182412	2491	Spic	NM_011461	20728	Spi-C transcription factor (Spi-1/PU.1 related) [Source:MGI Symbol
-1.81074955747245	5089	Socs1	NM_001271603	12703	suppressor of cytokine signaling 1 [Source:MGI Symbol
-1.80931544482452	3390	0	0	NA	0
-1.80859616544592	5497	St3gal1	NM_009177	20442	ST3 beta-galactoside alpha-2
-1.80826402288537	2432	Igsf11	0	207683	immunoglobulin superfamily
-1.80803483746187	1765	Angpt2	NM_007426	11601	angiopoietin 2 [Source:MGI Symbol
-1.80429755029885	2279	Dirc2	NM_153550	224132	disrupted in renal carcinoma 2 (human) [Source:MGI Symbol
-1.80386900673318	1152	Morn4	NM_198108	226123	MORN repeat containing 4 [Source:MGI Symbol
-1.80244155154958	611	Exoc3l4	NM_028807	74190	exocyst complex component 3-like 4 [Source:MGI Symbol
-1.8016700083217	1502	Rpgr	0	19893	retinitis pigmentosa GTPase regulator [Source:MGI Symbol
-1.8012331199206	726	Cd14	NM_009841	12475	CD14 antigen [Source:MGI Symbol
-1.80113448639591	532	Cd9	NM_007657	12527	CD9 antigen [Source:MGI Symbol
-1.80090972619936	1424	Ptges3l	0	73635	prostaglandin E synthase 3 (cytosolic)-like [Source:MGI Symbol
-1.7992998150051	1329	Gm7160	0	NA	predicted gene 7160 [Source:MGI Symbol
-1.79905827881636	1255	2810002D19Rik	0	NA	RIKEN cDNA 2810002D19 gene [Source:MGI Symbol
-1.79745930141233	5842	Jarid2	0	16468	jumonji
-1.79541480119544	4733	Jak2	NM_008413	16452	Janus kinase 2 [Source:MGI Symbol
-1.7951340725245	994	Slx4ip	NM_028834	74243	SLX4 interacting protein [Source:MGI Symbol
-1.79274549386531	245	Card19	NM_026738	68480	caspase recruitment domain family
-1.79129514440138	533	Lrrfip2	0	71268	leucine rich repeat (in FLII) interacting protein 2 [Source:MGI Symbol
-1.79004515421819	7598	Tagap	NM_145968	72536	T cell activation Rho GTPase activating protein [Source:MGI Symbol
-1.78850676390906	3801	Zbtb10	NM_177660	229055	zinc finger and BTB domain containing 10 [Source:MGI Symbol
-1.78476278875722	1367	Smad6	NM_008542	17130	SMAD family member 6 [Source:MGI Symbol
-1.78395678465997	2774	Parp3	NM_145619	235587	poly (ADP-ribose) polymerase family
-1.78344727966303	849	Ankrd33b	NM_027496	67434	ankyrin repeat domain 33B [Source:MGI Symbol
-1.78242053350713	1664	Ccdc138	NM_001162956	76138	coiled-coil domain containing 138 [Source:MGI Symbol
-1.78034751650789	4230	Cspg4	NM_139001	121021	chondroitin sulfate proteoglycan 4 [Source:MGI Symbol
-1.77957056005774	547	Milr1	0	380732	mast cell immunoglobulin like receptor 1 [Source:MGI Symbol
-1.77886867990603	518	Batf	NM_016767	53314	basic leucine zipper transcription factor
-1.77874346872666	1832	Gm4951	NM_001033767	240327	predicted gene 4951 [Source:MGI Symbol
-1.77627535257527	4818	Sh2d4b	NM_177816	328381	SH2 domain containing 4B [Source:MGI Symbol
-1.77613405503015	4061	Sdc4	NM_011521	20971	syndecan 4 [Source:MGI Symbol
-1.76968012786818	2682	Cdkl3	NM_153785	213084	cyclin-dependent kinase-like 3 [Source:MGI Symbol
-1.76935041243815	887	3110043O21Rik	0	73205	RIKEN cDNA 3110043O21 gene [Source:MGI Symbol
-1.76853965044861	598	1110046J04Rik	0	NA	RIKEN cDNA 1110046J04 gene [Source:MGI Symbol
-1.76701277086886	2555	Casp7	NM_007611	12369	caspase 7 [Source:MGI Symbol
-1.76687210437095	1178	Tmem104	0	320534	transmembrane protein 104 [Source:MGI Symbol
-1.76652685178392	555	Por	0	18984	P450 (cytochrome) oxidoreductase [Source:MGI Symbol
-1.76561745751448	1888	Plcl2	NM_013880	224860	phospholipase C-like 2 [Source:MGI Symbol
-1.76495454277794	4628	Gm8369	0	666926	predicted gene 8369 [Source:MGI Symbol
-1.76389856169035	2872	Ctsh	0	13036	cathepsin H [Source:MGI Symbol
-1.76326291204593	4787	9330175E14Rik	0	NA	RIKEN cDNA 9330175E14 gene [Source:MGI Symbol
-1.75927573223266	1386	Ccdc57	NM_027745	71276	coiled-coil domain containing 57 [Source:MGI Symbol
-1.75910140308888	2516	Slamf7	NM_144539	75345	SLAM family member 7 [Source:MGI Symbol
-1.75798503607623	4437	Pacsin1	0	23969	protein kinase C and casein kinase substrate in neurons 1 [Source:MGI Symbol
-1.75509591376981	773	Cd151	0	12476	CD151 antigen [Source:MGI Symbol
-1.75057767167975	2729	Snx18	NM_130796	170625	sorting nexin 18 [Source:MGI Symbol
-1.74966522289813	1116	Plxna1	NM_008881	18844	plexin A1 [Source:MGI Symbol
-1.74890686852939	3402	Slc9a1	NM_016981	20544	solute carrier family 9 (sodium/hydrogen exchanger)
-1.74412761832797	475	Arhgap24	NM_029270	231532	Rho GTPase activating protein 24 [Source:MGI Symbol
-1.74184424476585	551	Rnf149	NM_001033135	67702	ring finger protein 149 [Source:MGI Symbol
-1.74162416955809	1948	Irak2	NM_172161	108960	interleukin-1 receptor-associated kinase 2 [Source:MGI Symbol
-1.74124548547865	1287	Tlr3	NM_126166	142980	toll-like receptor 3 [Source:MGI Symbol
-1.73773126002576	7112	Itgam	0	NA	integrin alpha M [Source:MGI Symbol
-1.73562862611046	2238	Sh3yl1	NM_013709	24057	Sh3 domain YSC-like 1 [Source:MGI Symbol
-1.73425824694528	5877	Hist1h2br	0	665622	histone cluster 1 H2br [Source:MGI Symbol
-1.72997562536017	1148	Dnajb4	0	67035	DnaJ heat shock protein family (Hsp40) member B4 [Source:MGI Symbol
-1.72951031435985	2541	Plekha5	NM_144920	109135	pleckstrin homology domain containing
-1.72857718787969	2217	Sfn	NM_018754	55948	stratifin [Source:MGI Symbol
-1.72616286286833	4311	Ppfia3	0	76787	protein tyrosine phosphatase
-1.72586413132594	4047	Stx2	NM_007941	13852	syntaxin 2 [Source:MGI Symbol
-1.7227397258367	1154	Mrgpre	NM_175534	244238	MAS-related GPR
-1.7195158090058	5907	Zfp36	NM_011756	22695	zinc finger protein 36 [Source:MGI Symbol
-1.7168825827821	908	Mlkl	NM_001310613	74568	mixed lineage kinase domain-like [Source:MGI Symbol
-1.71504800141829	2484	Plau	NM_008873	18792	plasminogen activator
-1.71399537824445	389	Mfsd7b	0	226844	major facilitator superfamily domain containing 7B [Source:MGI Symbol
-1.71395809764785	2194	Rims3	0	242662	regulating synaptic membrane exocytosis 3 [Source:MGI Symbol
-1.71304857178257	528	Snx7	NM_029655	76561	sorting nexin 7 [Source:MGI Symbol
-1.71285898319474	1808	A230028O05Rik	0	NA	RIKEN cDNA A230028O05 gene [Source:MGI Symbol
-1.71235247629434	2612	Dennd6b	NM_027081	69440	DENN/MADD domain containing 6B [Source:MGI Symbol
-1.71169755143521	1712	4930589L23Rik	0	NA	RIKEN cDNA 4930589L23 gene [Source:MGI Symbol
-1.71081410236341	814	Ptger2	NM_008964	19217	prostaglandin E receptor 2 (subtype EP2) [Source:MGI Symbol
-1.71050950735327	347	2010111I01Rik	0	72061	RIKEN cDNA 2010111I01 gene [Source:MGI Symbol
-1.70965736613801	3570	Zc3h12a	NM_153159	230738	zinc finger CCCH type containing 12A [Source:MGI Symbol
-1.70693514662138	351	Ndfip2	NM_029561	76273	Nedd4 family interacting protein 2 [Source:MGI Symbol
-1.70607351686478	2605	Gm8989	0	NA	predicted gene 8989 [Source:MGI Symbol
-1.70544648389759	1155	Gpsm2	NM_029522	76123	G-protein signalling modulator 2 (AGS3-like
-1.70435703318559	6178	Trim17	0	56631	tripartite motif-containing 17 [Source:MGI Symbol
-1.70053027113505	3791	Tgtp1	NM_011579	21822	T cell specific GTPase 1 [Source:MGI Symbol
-1.69521716196324	2052	Setdb2	NM_001320720	239122	SET domain
-1.69452068161115	2128	Arhgap22	0	239027	Rho GTPase activating protein 22 [Source:MGI Symbol
-1.69181614530229	1506	Inca1	NM_001252484	103844	inhibitor of CDK
-1.69136430045772	2808	4930539E08Rik	NM_172450	207819	RIKEN cDNA 4930539E08 gene [Source:MGI Symbol
-1.68946343288374	491	Ap3s1	NM_009681	11777	adaptor-related protein complex 3
-1.68821697812294	1524	Ube2m	0	22192	ubiquitin-conjugating enzyme E2M [Source:MGI Symbol
-1.68696846322323	5822	Gbp5	0	229898	guanylate binding protein 5 [Source:MGI Symbol
-1.68609126050979	3720	Zfp446	NM_001168561	269870	zinc finger protein 446 [Source:MGI Symbol
-1.68416125408833	1595	Mcm9	NM_027830	71567	minichromosome maintenance 9 homologous recombination repair factor [Source:MGI Symbol
-1.68202807419271	7806	Ccl3	NM_011337	20302	chemokine (C-C motif) ligand 3 [Source:MGI Symbol
-1.67967747113275	3777	Bach2	0	12014	BTB and CNC homology
-1.67876423406497	1028	2310001H17Rik	0	NA	RIKEN cDNA 2310001H17 gene [Source:MGI Symbol
